Id,Name
ed3f7c2f-fce6-42e1-b3da-50c2d73f1734,Zathin
05524896-b103-4f5f-85b3-228ad99155a1,Cardify
168ff4be-a1c3-42c8-84ed-7558b79f2c0b,Lotstring
bdf932d7-b7ea-4bb0-a20b-e0af76ff0af8,Fix San
11a28e91-457d-4f03-b820-9c41e20e2856,Bitchip
f72b2c35-bb23-44a6-a2cb-7a8865a0b599,Ronstring
7eb4626c-13f7-4625-a810-d67c291f500f,Bitchip
7684a96d-c5e7-434f-9ee0-4d6fae05aa96,Flexidy
2095aa9d-8c2c-4083-98d9-81d5b7369181,Sonair
bf8fc454-2e24-442a-a136-5570f62c63cc,Y-Solowarm
1618bca4-8979-42f4-ae92-4b42b35fd9e8,Asoka
38664cee-6213-425c-bc31-f6b2246ec897,Bigtax
d581260c-ee43-4757-8cbc-2de1a17a5dc8,Flowdesk
9a9e450c-51cc-4896-9b71-835aa13e7dab,Fintone
7bc1be60-d007-4047-bf90-3ea4bf5d7c14,Overhold
71b82561-16fc-461c-8d00-844eedc50106,Prodder
45274dd4-2501-42df-ba67-c424a9f13edf,Zontrax
a7a4666b-d689-4bc7-a461-c2df72a7b643,Overhold
0ee341d0-4229-4880-8220-a9b1db78eaa5,Cardify
c9200b42-18ec-4ed6-aeb4-e807e7fa51bd,Prodder
